from,job_id,sektor,organisation,to,person_id,position
2010-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,jai-motwane,Senior Director
,european-commission-directorate-general-for-financial-stability-financial-services-and-capital-markets-union,European Commission,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union",,almoro-rubin-de-cervin,"Head of Unit, Financial Services Policy, Interinstitutional Relations and International Affairs"
,european-commission-directorate-general-for-internal-market-industry-entrepreneurship-and-smes,European Commission,"European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",,almoro-rubin-de-cervin,Deputy Head of Unit
,european-commission-directorate-general-for-competition,European Commission,"European Commission, Directorate-General for Competition",,almoro-rubin-de-cervin,
,european-commission-directorate-general-for-competition,European Commission,"European Commission, Directorate-General for Competition",,blanca-rodriguez,"Head of Unit, International Relations"
,european-commission-legal-service,European Commission,"European Commission, Legal Service",,blanca-rodriguez,Representative of the EU at ECJ proceedings
2000-01-01,european-commission-cabinet-of-the-president-of-the-commission,European Commission,"European Commission, Cabinet of the President of the Commission",2001-12-31,blanca-rodriguez,"Advisor to Mario Monti, state aid"
1995-01-01,european-commission-cabinet-of-the-president-of-the-commission-jacques-santer,European Commission,"European Commission, Cabinet of the President of the Commission Jacques Santer",1999-12-31,blanca-rodriguez,"Advisor, Competition and Legal Issues"
2010-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,anders-jessen,"Head of Unit, Intellectual Property and Public Procurement"
2005-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",2010-12-31,anders-jessen,"Head of Unit, Resources"
2001-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",2005-12-31,anders-jessen,"Deputy Head of Unit, Trade in Services, GATS Investments"
1997-01-01,european-commission-eu-delegation-for-relations-with-the-united-states,European Commission,"European Commission, EU Delegation for Relations with the United States",2001-12-31,anders-jessen,"Head of Traffic, Energy and Environment Section"
1991-01-01,european-commission-legal-service,European Commission,"European Commission, Legal Service",1997-12-31,anders-jessen,Member
1984-01-01,kromann-reumert-law-firm,"Private Sector
",Kromann & Reumert law firm,1987-12-31,anders-jessen,Lawyer
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,fernando-perreau-de-pinninck,"Head of Unit, Tariff and Non-Tariff Negotiations, Rules of Origin"
1987-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",1992-12-31,fernando-perreau-de-pinninck,Responsible for Financial Institutions and Corporate Law
1993-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",1994-12-31,fernando-perreau-de-pinninck,Responsible for internal coordination
1995-01-01,european-commission-cabinet-of-the-commission-vice-president,European Commission,"European Commission, Cabinet of the Commission Vice-President",1996-12-31,fernando-perreau-de-pinninck,"Member of the Cabinet, sectoral trade issues"
2010-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,dan-mullaney,Assistant U.S. Trade Representative for Europe and the Middle East
2006-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2010-12-31,dan-mullaney,Senior Trade Representative in the U.S. Mission to the European Union
1999-01-01,law-firm,Private sector,Law firm,1999-12-31,dan-mullaney,"Partner in an international law firm, specialized in trade law"
2009-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,carlos-romero,Deputy Assistant US Trade Representative for Labor
2008-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,carlos-romero,"Representation at ILO, OECD"
2006-01-01,us-department-of-labor,Public sector,US Department of Labor,2008-12-31,carlos-romero,Deputy Director of the Office of Trade and Labor Affairs
2000-01-01,us-department-of-labor,Public sector,US Department of Labor,2006-12-31,carlos-romero,International Economist
2012-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,isabella-detwiler,Director for Europe
2010-01-01,us-state-department,Public sector,US State Department,2010-12-31,isabella-detwiler,"Deputy ESTH Counselor, US Embassy Moskau"
2004-01-01,us-state-department,Public sector,US State Department,2004-12-31,isabella-detwiler,"ECO Department, US Embassy Croatia"
2006-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,colin-brown,"Deputy Head of Unit, Dispute Settlement and Legal Aspects of Trade Policy"
2001-01-01,european-commission-legal-service,European Commission,"European Commission, Legal Service",2006-12-31,colin-brown,Representative of the EU at WTO and EU proceedings
2004-01-01,european-commission-energy-charter-theory,European Commission,"European Commission, Energy Charter Theory",2004-12-31,colin-brown,Head of the Legal Committee
1999-01-01,van-bael-bellis-law-firm,"Private Sector
",Van Bael & Bellis law firm,2000-12-31,colin-brown,Lawyer
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate General for Trade",,hiddo-houben,"Head of Unit, USA and Canada"
2004-01-01,european-commission-cabinet-of-the-trade-commissioner-and-high-representative-for-foreign-affairs,European Commission,"European Commission, Cabinet of the Trade Commissioner and High Representative for Foreign Affairs",2009-12-31,hiddo-houben,Cabinet member of Peter Mandelson and Lady Ashton
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,ivone-kaizeler,"Administrator, Tariff and Non-Tariff Negotiations, Rules of Origin"
2007-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,sushan-demirjian,Deputy Assistant US Trade Representative for Market Access and Industrial Competitiveness
1999-01-01,american-chemistry-council,Private sector,American Chemistry Council,2007-12-31,sushan-demirjian,"Director, International Trade"
1991-01-01,american-bar-association,Private sector,American Bar Association,1998-12-31,sushan-demirjian,"Director, Programs and Meetings, International Law Section"
,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,amanda-yarusso-horan,Director Service Trade Negotiations
2011-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,kate-kalutkiewicz,Director for European Affairs
2007-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2011-12-31,kate-kalutkiewicz,Director for Brazil and Southern Cone
2003-01-01,us-senate,Public sector,US Senate,2006-12-31,kate-kalutkiewicz,Assistent to Senator James Talent (R-Missouri)
2011-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,robb-tanner,Director for Services and Investment
2001-01-01,federal-communications-commission-fcc,Public sector,Federal Communications Commission (FCC),2011-12-31,robb-tanner,Advisor for international agreements
1998-01-01,davis-wright-tremaine-llp-law-firm,Private sector,Davis Wright Tremaine LLP law firm,2001-12-31,robb-tanner,Senior Associate
1996-01-01,federal-communications-commission-fcc,Public sector,Federal Communications Commission (FCC),1998-12-31,robb-tanner,Attorney Advisor
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,stephanie-leupold,"Responsible for WTO proceedings, dispute settlement and legal aspects of trade policy"
,german-permanent-representation-to-the-european-union-in-brussels,Public Sector,German Permanent Representation to the European Union in Brussels,,stephanie-leupold,Responsible for German EU Council Presidency
,german-ministry-of-economics-and-technology,Public Sector,German Ministry of Economics and Technology,,stephanie-leupold,
,german-finance-ministry,Public Sector,German Finance Ministry,,stephanie-leupold,
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,claes-hallberg,"Policy Officer, multilateral and bilateral tariff negotiations"
,european-commission-directorate-general-for-internal-market-industry-entrepreneurship-and-smes,European Commission,"European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",,klaus-berend,"Head of Unit, REACH - Evaluation, Authorisation and Restriction of Chemicals; International Rubber Board of India, Deputy Chief for the EU"
,european-commission-directorate-general-for-the-environment,European Commission,"European Commission, Directorate-General for the Environment",,klaus-berend,"Deputy Director, Biotechnology and Pesticides"
,european-commission-directorate-general-for-internal-market-industry-entrepreneurship-and-smes,European Commission,"European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",,birgit-weidel,"Deputy Head of Unit, Engineering Industries"
2008-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,arrow-augerot,Deputy Assistant APEC Affairs & Localization Barriers to Trade
2008-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,arrow-augerot,Deputy Assistant USTR APEC Affairs & Localization Barriers to Trade
2006-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2008-12-31,arrow-augerot,Deputy Assistant USTR for Korea
2004-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2006-12-31,arrow-augerot,Director for Telecommunications and Electronic Commerce Trade Policy
1998-01-01,us-department-of-commerce,Public sector,US Department of Commerce,2004-12-31,arrow-augerot,International Trade Specialist
1997-01-01,the-national-interest,Private sector,The National Interest,1998-12-31,arrow-augerot,Editor
2010-01-01,european-commission-directorate-general-for-internal-market-industry-entrepreneurship-and-smes,European Commission,"European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",,laurent-selles,"Senior Coordinator for International Relations, Health Technology and Cosmetics"
1996-01-01,european-commission-directorate-general-for-internal-market-industry-entrepreneurship-and-smes,European Commission,"European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",1996-12-31,laurent-selles,Responsible for EU legislation concerning the car industry
12 Jahre-01-01,car-industry,"Private Sector
",Car industry,12 Jahre-12-31,laurent-selles,Research and Development
2004-01-01,european-commission-directorate-general-for-internal-market-industry-entrepreneurship-and-smes,European Commission,"European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",,constantin-livas,"Senior Expert, textiles, fashion, design and creative industry"
2001-01-01,european-commission,European Commission,European Commission,2004-12-31,constantin-livas,"Civil servant, responsible for analyses on information technology and eEurope"
1995-01-01,european-commission-directorate-general-for-internal-market-industry-entrepreneurship-and-smes,European Commission,"European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",2001-12-31,constantin-livas,"Civil servant, responsible for textiles, fashion and the woodworking industry"
1991-01-01,european-commission-directorate-general-for-internal-market-industry-entrepreneurship-and-smes,European Commission,"European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",1995-12-31,constantin-livas,National Expert
1986-01-01,commercial-bank-of-greece,"Private Sector
",Commercial Bank of Greece,1991-12-31,constantin-livas,Economic Analyst
1982-01-01,greek-foreign-ministry,Public Sector,Greek Foreign Ministry,1986-12-31,constantin-livas,Relations with the EU
2012-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,mary-lisa-madell,Director for Agricultural Affairs and Commodity Policy
2009-01-01,department-of-health-and-human-services,Public sector,Department of Health and Human Services,2012-12-31,mary-lisa-madell,Director Office of Europe and Eurasia in the Office of Global Affairs
2004-01-01,us-department-of-agriculture,Public sector,US Department of Agriculture,2009-12-31,mary-lisa-madell,Deputy Director Animal and Plant Health Inspection Service (APHIS)
2006-01-01,us-senate,Public sector,US Senate,2006-12-31,mary-lisa-madell,Trade staff for Senator Max Baucus (D-Montana)
,us-department-of-agriculture,Public sector,US Department of Agriculture,,mary-lisa-madell,Deputy Director/Trade Policy Analyst
1990-01-01,us-department-of-agriculture,Public sector,US Department of Agriculture,1990-12-31,mary-lisa-madell,Analyst in Economic Research Service
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,pablo-neira,"Administrator, Tariff and Non-Tariff Negotiations, Rules of Origin
"
,european-commission-directorate-general-for-internal-market-industry-entrepreneurship-and-smes,European Commission,"European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",,pablo-neira,
2008-01-01,european-commission-directorate-general-for-internal-market-industry-entrepreneurship-and-smes,European Commission,"European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",,philippe-jean,"Head of Unit, Sustainable Mobility and Car Industry"
,european-commission-cabinet-commissioner-for-enterprises-and-information-society-erkki-liikanen,European Commission,"European Commission, Cabinet Commissioner for Enterprises and Information Society Erkki Liikanen",,philippe-jean,Deputy Director
2011-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,victor-mroczka,"Director of Trade Remedies, WTO & Multilateral Affairs"
2008-01-01,hughes-hubbard-reed-llp-law-firm,Private sector,Hughes Hubbard & Reed LLP law firm,2011-12-31,victor-mroczka,Trade Council
2006-01-01,vinson-and-elkins-llp-law-firm,Private sector,Vinson and Elkins LLP law firm,2008-12-31,victor-mroczka,Associate
2004-01-01,willkie-farr-gallagher-llp-law-firm,Private sector,Willkie Farr & Gallagher LLP law firm,2006-12-31,victor-mroczka,Associate
2000-01-01,dorsey-whitney-llp-law-firm,Private sector,Dorsey & Whitney LLP law firm,2004-12-31,victor-mroczka,Associate
,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,christina-sevilla,Deputy Assistant US Trade Representative for Small Business
2010-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2010-12-31,christina-sevilla,Deputy Assistant US Trade Representative for Intergovernmental Affairs and Public Engagement
,us-state-department,Public sector,US State Department,,christina-sevilla,Director for Intergovernmental Affairs and Public Liaison
2010-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,barbara-norton,Deputy Assistant Office of Market Access and Industrial Competitiveness
2001-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2001-12-31,barbara-norton,"Director of Information Industry and Chemical Industry 
Trade Policy "
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,christophe-kiener,"Deputy Head of Unit, WTO Coordination, OECD, Export Credits and Dual-Use Items"
,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,david-oliver,Deputy Assistant U.S. Trade Representative for Environment and Natural Resources
2009-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,gail-strickler,Assistant U.S. Trade Representative for Textiles
2008-01-01,philadelphia-university,Private sector,Philadelphia University,2009-12-31,gail-strickler,Associate Director ITAPS
1980-01-01,saxon-textile-corporation,Private sector,Saxon Textile Corporation,2006-12-31,gail-strickler,"Manager, President & CEO"
2008-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,jim-sanford,"Assistant US Trade Representative for Small Business, Market Access, and Industrial Competitiveness"
2002-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2008-12-31,jim-sanford,Deputy Assistant US Trade Representative for Europe
