from,job_id,sektor,organisation,to,person_id,position
1998-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2002-12-31,jim-sanford,Director for European Affairs
1992-01-01,us-department-of-commerce,Public sector,US Department of Commerce,1998-12-31,jim-sanford,International Trade Administration
1988-01-01,us-department-of-justice,Public sector,US Department of Justice,1990-12-31,jim-sanford,Economic analyst at the Antitrust Division
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,carsten-schittek,"Policy Officer, Multilateral Negotiations on Non-Tariff Trade Barriers (NAMA) and Market Access"
2012-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,amy-karpel,"Chief Counsel for Negotiations, Legislation and Administrative Law"
2011-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2012-12-31,amy-karpel,Director for Environment and Natural Resources
2004-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2011-12-31,amy-karpel,Associate General Counsel
1998-01-01,stewart-stewart-law-firm,Private sector,Stewart & Stewart law firm,2004-12-31,amy-karpel,Associate
2011-01-01,european-commission-directorate-general-for-agriculture-and-rural-development,European Commission,"European Commission, Directorate-General for Agriculture and Rural Development",,john-clarke,"Head of Unit, International and Bilateral Relations"
2004-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",2007-12-31,john-clarke,"Head of Unit, WTO Issues"
1983-01-01,government-of-hong-kong,Public Sector,Government of Hong Kong,1993-12-31,john-clarke,"Cabinet Secretary, Member of the Hong Kong delegation at the GATT Uruguay round; Deputy Head of the Hong Kong mission at the EC"
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,marco-duerkop,"Deputy Head of Unit, Services and Investments, Intellectual Property and Public Procurement"
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,marco-duerkop,"Assistant to the Deputy Director-General, responsible for multilateral trade policy, trade relations with Russia and the Ukraine and Trade Defense Policy"
,european-commission,European Commission,European Commission,,marco-duerkop,"Coordinator for WTO panel cases; member of the delegation, ongoing WTO trade negotiations
"
,foreign-office-german-government,Public Sector,"Foreign Office, German Government",,marco-duerkop,"Responsible for NATO and the United Nations, German Embassy, Athens"
2003-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,julia-doherty,Senior Director in the Office of WTO and Multilateral Affairs
2007-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,jason-bernstein,Director of Customs Affairs
1999-01-01,us-department-of-agriculture,Public sector,US Department of Agriculture,1999-12-31,jason-bernstein,Economic Research Service
2011-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,benjamin-musall,"Assistant Policy Officer - Policy Co-ordinator for Market Access, Industry, Energy and Raw Materials"
2008-01-01,ceramie-unie,"Private Sector
",Ceramie Unie,2011-12-31,benjamin-musall,Director for Trade Policy
2008-01-01,kemmler-rapp-bohlke-crosby-law-office,"Private Sector
",Kemmler Rapp Böhlke & Crosby law office,2008-12-31,benjamin-musall,Lawyer
2007-01-01,norton-rose-llp-law-office,"Private Sector
",Norton Rose LLP law office,2007-12-31,benjamin-musall,Trainee
2007-01-01,kemmler-rapp-bohlke-crosby-law-office,"Private Sector
",Kemmler Rapp Böhlke & Crosby law office,2007-12-31,benjamin-musall,Trainee
2012-01-01,european-commission-directorate-general-for-agriculture-and-rural-development,European Commission,"European Commission, Directorate-General for Agriculture and Rural Development",,jean-marc-trarieux,"Head of Unit, The Americas"
2007-01-01,european-commission-directorate-general-for-agriculture-and-rural-development,European Commission,"European Commission, Directorate-General for Agriculture and Rural Development",2012-12-31,jean-marc-trarieux,"Head of Unit, WTO Issues"
2003-01-01,european-commission-eu-delegation-for-relations-with-the-united-states,European Commission,"European Commission, EU Delegation for Relations with the United States",2007-12-31,jean-marc-trarieux,Agricultural Counsellor
2000-01-01,european-commission-eu-delegation-in-warsaw-poland,European Commission,"European Commission, EU Delegation in Warsaw, Poland",2003-12-31,jean-marc-trarieux,"Head of Unit, Agricultural Sector"
1995-01-01,french-foreign-ministry-the-hague-embassy-netherlands,Public Sector,"French Foreign Ministry, The Hague Embassy, Netherlands",1997-12-31,jean-marc-trarieux,
2011-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,ignacio-garcia-bercero,"Director, responsible for activities with EU member states, the USA and Canada"
2005-01-01,european-commission,European Commission,European Commission,2011-12-31,ignacio-garcia-bercero,"Trade-related aspects of sustainable development, bilateral trade negotiations with South and Southeast Asia, Korea"
,european-commission-eu-delegation-for-relations-with-the-united-states,European Commission,"European Commission, EU Delegation for Relations with the United States",,ignacio-garcia-bercero,"Member of the delegation, responsible for dispute settlement at the WTO and the regulation of trade barriers"
2008-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,mary-thornton,Director for Industrial Goods Market Access
2007-01-01,us-treasury-department,Public sector,US Treasury Department,2008-12-31,mary-thornton,Policy Analyst
2003-01-01,us-department-of-commerce,Public sector,US Department of Commerce,2007-12-31,mary-thornton,International Economist
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,monika-hencsey,"Head of Unit, Trade and Sustainable Development, Generalised System of Preferences"
2003-01-01,european-commission-directorate-general-for-competition,European Commission,"European Commission, Directorate-General for Competition",2003-12-31,monika-hencsey,
,european-commission-directorate-general-for-external-relations,European Commission,"European Commission, Directorate-General for External Relations",,monika-hencsey,
,world-bank,Public Sector,World Bank,,monika-hencsey,Telecommunications
,private-sector,"Private Sector
",Private Sector,,monika-hencsey,
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,denis-redonnet,"Head of Unit, Trade Strategy"
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,denis-redonnet,"Head of Section, WTO Issues"
,european-commission-cabinet-of-the-trade-commissioner-peter-mandelson,European Commission,"European Commission, Cabinet of the Trade Commissioner Peter Mandelson",,denis-redonnet,Deputy Cabinet Director
,european-commission-cabinet-of-the-trade-commissioner-pascal-lamy,European Commission,"European Commission, Cabinet of the Trade Commissioner Pascal Lamy",,denis-redonnet,Advisor
,european-commission,European Commission,European Commission,,denis-redonnet,"Civil Servant for the areas of finance, international economic policy and internal market"
,bank-london,"Private Sector
","Bank, London",,denis-redonnet,Banker
2011-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,george-york,Deputy Assistant for Intellectual Property and Innovation
2009-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,george-york,"International Trade Counsel, House of Congress"
2004-01-01,us-representation-at-the-wto,Public sector,US Representation at the WTO,2007-12-31,george-york,Assistant Legal Advisor
2001-01-01,mayer-brown-llp-law-firm,Private sector,Mayer Brown LLP law firm,2004-12-31,george-york,Associate
,european-commission-directorate-general-for-internal-market-industry-entrepreneurship-and-smes,European Commission,"European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",,roman-mokry,"Policy Officer, Health Technology and Cosmetics"
,roedl-partner,"Private Sector
",Roedl & Partner,,roman-mokry,Consultant for foreign companies in the Czech Republic and Slovakia
,l-oreal,"Private Sector
",L´Oreal,,roman-mokry,Product Manager
2007-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,zoltan-somogyi,"Head of Unit, Agriculture, Fishing, Sanitary and Phytosanitary Market Access"
,hungarian-permanent-representation-to-the-eu,Public Sector,Hungarian Permanent Representation to the EU,,zoltan-somogyi,
,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,rachel-shub,"Senior Director, EU Regulatory Affairs"
2005-01-01,us-representation-at-the-wto,Public sector,US Representation at the WTO,2009-12-31,rachel-shub,WTO negotiator for trade facilitation
1991-01-01,patton-boggs-blow-llp-law-firm,Private sector,"Patton, Boggs & Blow LLP law firm",1991-12-31,rachel-shub,Associate
,european-commission-directorate-general-for-health-and-food-safety,European Commission,"European Commission, Directorate-General for Health and Food Safety",,sebastien-goux,"Policy Officer, Pharmaceuticals, Medical Products - Approval, European Medicines Agency"
,belgian-health-ministry,Public Sector,Belgian Health Ministry,,sebastien-goux,"Legislation on novel foods, coordination of official inspections for genetic engineering and food contaminants"
2010-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,pedro-velasco-martins,"Deputy Head of Unit, Intellectual Property and Public Procurement"
1996-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",2010-12-31,pedro-velasco-martins,
1990-01-01,european-commission,European Commission,European Commission,1996-12-31,pedro-velasco-martins,"Civil servant, Trade Defense Instruments (anti-dumping)"
1993-01-01,macedo-vitorino-associados-law-firm,"Private Sector
",Macedo Vitorino & Associados law firm,1996-12-31,pedro-velasco-martins,"Partner at law firm
"
2002-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,david-weiner,Deputy Assistant U.S. Trade Representative for Europe
1999-01-01,us-overseas-cooperative-development-council,Private sector,US Overseas Cooperative Development Council,1999-12-31,david-weiner,Acting Director of the Program on US Policy
2012-01-01,us-treasury-department,Public sector,US Treasury Department,,gavin-buckley,Chair for Trade in Financial Services
2006-01-01,us-treasury-department,Public sector,US Treasury Department,2012-12-31,gavin-buckley,Financial Economist
2002-01-01,us-treasury-department,Public sector,US Treasury Department,2006-12-31,gavin-buckley,Economist
2001-01-01,us-treasury-department,Public sector,US Treasury Department,2002-12-31,gavin-buckley,Financial Economist
1990-01-01,us-treasury-department,Public sector,US Treasury Department,1996-12-31,gavin-buckley,International Economist
2003-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,jean-kemp,Director Steel Trade Policy
1998-01-01,us-department-of-commerce,Public sector,US Department of Commerce,2003-12-31,jean-kemp,Senior Import Policy analyst
2007-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,scott-pietan,Director of Industry Trade Policy
2002-01-01,international-trade-administration,Public sector,International Trade Administration,2007-12-31,scott-pietan,International Economist
1998-01-01,peace-corps,Public sector,Peace Corps,2000-12-31,scott-pietan,Rural Development Officer
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,leopoldo-rubinacci,"Head of Unit, Investments"
,european-commission-directorate-general-for-taxation-and-customs-union,European Commission,"European Commission, Directorate-General for Taxation and Customs Union",,antonis-kastrissianakis,"Director for Safety, Protection, Trade Facilitation, Rules of Origin and International Cooperation"
2007-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,thomas-fine,Director Services and Investment
2002-01-01,us-representation-at-the-wto,Public sector,US Representation at the WTO,2007-12-31,thomas-fine,Special Advisor
1992-01-01,us-department-of-commerce,Public sector,US Department of Commerce,2002-12-31,thomas-fine,Senior Council
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,paolo-garzotti,"Head of Unit, WTO Coordination, OECD, Export Credits and Dual Use Items"
2005-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,paolo-garzotti,"Deputy Head of Unit, WTO Coordination, OECD, trade-related assistance, GATT, Trade Policy Committee"
2004-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",2005-12-31,paolo-garzotti,"Deputy Head of Unit, Market Access, Trade Relations with the USA, Canada, EFTA, Australia and New Zealand"
2000-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",2004-12-31,paolo-garzotti,Principal Administrator for WTO proceedings
1998-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",1998-12-31,paolo-garzotti,
1994-01-01,european-commission-directorate-general-for-taxation-and-customs-union,European Commission,"European Commission, Directorate-General for Taxation and Customs Union",1998-12-31,paolo-garzotti,
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,jan-schmitz,"Policy Coordinator, Trade Relations with North America"
2012-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,matthew-jaffe,Office of General Counsel
2011-01-01,neville-peterson-llp-law-firm,Private sector,Neville Peterson LLP law firm,2012-12-31,matthew-jaffe,Counsel
2003-01-01,crowell-moring-llp-law-firm,Private sector,Crowell & Moring LLP law firm,2011-12-31,matthew-jaffe,Partner und Senior Counsel
1994-01-01,lipstein-jaffe-lawson-llp-law-firm,Private sector,Lipstein Jaffe & Lawson LLP law firm,2003-12-31,matthew-jaffe,Partner
2004-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,dawn-shackleford,Deputy Assistant U.S. Trade Representative for WTO and Multilateral Affairs
1998-01-01,office-of-the-under-secretary-of-defense-for-policy,Public sector,Office of the Under Secretary of Defense for Policy,2004-12-31,dawn-shackleford,Policy Analyst within the Office of the Under Secretary of Defense for Policy
2011-01-01,european-commission-directorate-general-for-health-and-food-safety,European Commission,"European Commission, Directorate-General for Health and Food Safety",,lorenzo-terzi,"Head of Unit, Bilateral and International Relations"
2012-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,ulrich-weigl,"Deputy Head of Unit, Agriculture, Fishing, Sanitary and Phytosanitary Market Access, Biotechnology"
2012-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,mary-ryckman,Senior Advisor for Trade Policy Affairs
2002-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2012-12-31,mary-ryckman,Assistant Trade Representative
1998-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2002-12-31,mary-ryckman,Deputy Assistant US Trade Representative for Canada
1993-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),1998-12-31,mary-ryckman,"Director, Investment Affairs"
1989-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),1993-12-31,mary-ryckman,Multilateral Trade Negotiations
1982-01-01,bank-of-boston,Private sector,Bank of Boston,1986-12-31,mary-ryckman,Loan Officer
,european-commission-directorate-general-for-agriculture-and-rural-development,European Commission,"European Commission, Directorate-General for Agriculture and Rural Development",,raimundo-serra,"Deputy Head of Unit, International and Bilateral Relations, Americas"
2012-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,petros-sourmelis,"Head of Unit, Market Access, Industry, Energy and Raw Materials"
2009-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",2011-12-31,petros-sourmelis,"Head of Unit, Market Access"
2005-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",2009-12-31,petros-sourmelis,"Head of Unit, International Negotiations on Trade in Services and Investments"
2001-01-01,european-commission-eu-delegation-for-relations-with-the-united-states,European Commission,"European Commission, EU Delegation for Relations with the United States",2004-12-31,petros-sourmelis,Head of Trade Sector
,european-commission,European Commission,European Commission,,petros-sourmelis,"Deputy Head of Unit, WTO Proceedings"
